Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Location
Early Advisement and Registration begin for Summer and Fall 2021,4/12/2021,12:00 AM,4/12/2021,11:59 PM,TRUE,,
Tentative In-Person Registration,8/9/2021,12:00 AM,8/13/2021,11:59 PM,TRUE,,
Tentative  In-Person Registration,8/16/2021,12:00 AM,8/20/2021,11:59 PM,TRUE,,
Last day to apply for ePermit,8/24/2021,12:00 AM,8/24/2021,11:59 PM,TRUE,,
Last day to drop with 100% tuition refund,8/24/2021,12:00 AM,8/24/2021,11:59 PM,TRUE,,
Last day to add a class (no late registration after this date),8/24/2021,12:00 AM,8/24/2021,11:59 PM,TRUE,,
Classes begin,8/25/2021,12:00 AM,8/25/2021,11:59 PM,TRUE,,
Fee of $18 is charged per day for changing classes once the semester begins,8/25/2021,12:00 AM,8/25/2021,11:59 PM,TRUE,,
Last day to change a class,8/31/2021,12:00 AM,8/31/2021,11:59 PM,TRUE,,
Last day to drop with 75% tuition refund,8/31/2021,12:00 AM,8/31/2021,11:59 PM,TRUE,,
Verification of Enrollment Rosters Available to faculty,9/1/2021,12:00 AM,9/1/2021,11:59 PM,TRUE,,
"Course Withdrawal Drop (WD) period begins. A grade of ""WD"" is assigned to students who officially drop a class",9/1/2021,12:00 AM,9/1/2021,11:59 PM,TRUE,,
No classes scheduled,9/3/2021,12:00 AM,9/3/2021,11:59 PM,TRUE,,
Labor Day Weekend - COLLEGE CLOSED - NO CLASSES,9/4/2021,12:00 AM,9/6/2021,11:59 PM,TRUE,,
Last day to drop with 50% tuition refund,9/7/2021,12:00 AM,9/7/2021,11:59 PM,TRUE,,
No classes scheduled,9/7/2021,12:00 AM,9/8/2021,11:59 PM,TRUE,,
"Course Withdrawal Drop (WD) period ends. Last day to drop without the grade of ""W""",9/14/2021,12:00 AM,9/14/2021,11:59 PM,TRUE,,
Verification of Enrollment Rosters Due from faculty,9/14/2021,12:00 AM,9/14/2021,11:59 PM,TRUE,,
Last day to change a major to be effective for Fall 2021,9/14/2021,12:00 AM,9/14/2021,11:59 PM,TRUE,,
Last day to drop with 25% tuition refund,9/14/2021,12:00 AM,9/14/2021,11:59 PM,TRUE,,
"""WN"" Grades Assigned",9/15/2021,12:00 AM,9/15/2021,11:59 PM,TRUE,,
"Course withdrawal period begins (A grade of ""W"" is assigned to students who officially withdraw from a class)",9/15/2021,12:00 AM,9/15/2021,11:59 PM,TRUE,,
Priority deadline for the CUNY transfer application,9/15/2021,12:00 AM,9/15/2021,11:59 PM,TRUE,,
No classes scheduled,9/15/2021,12:00 AM,9/16/2021,11:59 PM,TRUE,,
Last day to apply for Fall 2021 Graduation,9/22/2021,12:00 AM,9/22/2021,11:59 PM,TRUE,,
"""WA"" Grades Assigned--Immunization non-compliance",9/24/2021,12:00 AM,9/24/2021,11:59 PM,TRUE,,
COLLEGE CLOSED- NO CLASSES,10/11/2021,12:00 AM,10/11/2021,11:59 PM,TRUE,,
Early Advisement and Registration begin for Winter/Spring 2022,10/20/2021,12:00 AM,10/20/2021,11:59 PM,TRUE,,
Last day to submit a financial aid (Title IV) appeal for Fall 2021,11/1/2021,12:00 AM,11/1/2021,11:59 PM,TRUE,,
Deadline for completion of INC grade from Spring and Summer,11/1/2021,12:00 AM,11/1/2021,11:59 PM,TRUE,,
COLLEGE CLOSED- NO CLASSES,11/25/2021,12:00 AM,11/28/2021,11:59 PM,TRUE,,
"Last day to withdraw with a grade of ""W""",12/13/2021,12:00 AM,12/13/2021,11:59 PM,TRUE,,
"Last day to opt in for BMCC ""NC"" grade",12/13/2021,12:00 AM,12/13/2021,11:59 PM,TRUE,,
Last day of classes,12/13/2021,12:00 AM,12/13/2021,11:59 PM,TRUE,,
Reading Day,12/14/2021,12:00 AM,12/14/2021,11:59 PM,TRUE,,
Final Examinations,12/15/2021,12:00 AM,12/21/2021,11:59 PM,TRUE,,
Grade Submission Deadline,12/23/2021,12:00 AM,12/23/2021,11:59 PM,TRUE,,
COLLEGE CLOSED,12/24/2021,12:00 AM,12/25/2021,11:59 PM,TRUE,,
