Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Location
Early Advisement and Registration begin for Summer and Fall 2021,4/12/2021,12:00 AM,4/12/2021,11:59 PM,TRUE,,
Last day to apply for ePermit,5/26/2021,12:00 AM,5/26/2021,11:59 PM,TRUE,,
Last day to drop with 100% tuition refund,5/26/2021,12:00 AM,5/26/2021,11:59 PM,TRUE,,
Last day to add a class (no late registration after this date),5/26/2021,12:00 AM,5/26/2021,11:59 PM,TRUE,,
Classes begin,5/27/2021,12:00 AM,5/27/2021,11:59 PM,TRUE,,
Last day to change a class,5/28/2021,12:00 AM,5/28/2021,11:59 PM,TRUE,,
Last day to drop with 50% tuition refund,5/31/2021,12:00 AM,5/31/2021,11:59 PM,TRUE,,
COLLEGE CLOSED - NO CLASSES,5/31/2021,12:00 AM,5/31/2021,11:59 PM,TRUE,,
Verification of Enrollment Rosters Available to faculty,6/1/2021,12:00 AM,6/1/2021,11:59 PM,TRUE,,
"Course Withdrawal Drop (WD) period begins. A grade of ""WD"" is assigned to students who officially drop a class",6/1/2021,12:00 AM,6/1/2021,11:59 PM,TRUE,,
Verification of Enrollment Rosters Due from faculty,6/5/2021,12:00 AM,6/5/2021,11:59 PM,TRUE,,
"Course Withdrawal Drop (WD) period ends. Last day to drop without the grade of ""W""",6/5/2021,12:00 AM,6/5/2021,11:59 PM,TRUE,,
Last day to drop with 25% tuition refund,6/5/2021,12:00 AM,6/5/2021,11:59 PM,TRUE,,
"Course withdrawal period begins (A grade of ""W"" is assigned to students who officially withdraw from a class)",6/6/2021,12:00 AM,6/6/2021,11:59 PM,TRUE,,
COLLEGE CLOSED - NO CLASSES,6/18/2021,12:00 AM,6/18/2021,11:59 PM,TRUE,,
Last day to submit a financial aid (Title IV) appeal for Summer 2021,7/1/2021,12:00 AM,7/1/2021,11:59 PM,TRUE,,
COLLEGE CLOSED - NO CLASSES,7/5/2021,12:00 AM,7/5/2021,11:59 PM,TRUE,,
"Last day to withdraw with a grade of ""W""",7/7/2021,12:00 AM,7/7/2021,11:59 PM,TRUE,,
"Last day to opt in for BMCC ""NC"" grade",7/7/2021,12:00 AM,7/7/2021,11:59 PM,TRUE,,
Last day of classes (including final examinations),7/8/2021,12:00 AM,7/8/2021,11:59 PM,TRUE,,
Grade Submission Deadline,7/10/2021,12:00 AM,7/10/2021,11:59 PM,TRUE,,
Last day to change a major to be effective Summer 2021,7//2021,12:00 AM,7//2021,11:59 PM,TRUE,,
Last day to apply for Summer 2021 Graduation,7//2021,12:00 AM,7//2021,11:59 PM,TRUE,,
