Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Location
Early Advisement and Registration begin for Summer and Fall 2020,3/20/2020,12:00 AM,3/20/2020,11:59 PM,TRUE,,
Ongoing Web Registration,6/29/2020,12:00 AM,8/25/2020,11:59 PM,TRUE,,
Online Drop-In Advisement,8/17/2020,12:00 AM,8/21/2020,11:59 PM,TRUE,,
Last Chance Drop-In Advisement,8/24/2020,12:00 AM,8/25/2020,11:59 PM,TRUE,,
Last day to drop with 100% tuition refund,8/25/2020,12:00 AM,8/25/2020,11:59 PM,TRUE,,
Last day to apply for ePermit,8/25/2020,12:00 AM,8/25/2020,11:59 PM,TRUE,,
Classes begin,8/26/2020,12:00 AM,8/26/2020,11:59 PM,TRUE,,
Late Registration Advisement,8/26/2020,12:00 AM,9/1/2020,11:59 PM,TRUE,,
Fee of $18 is charged per day for adding or swapping classes once the semester begins,8/26/2020,12:00 AM,8/26/2020,11:59 PM,TRUE,,
Application for graduation opens for Fall 2020 Graduates,8/26/2020,12:00 AM,8/26/2020,11:59 PM,TRUE,,
Fee of $25 is charged for late registration,8/26/2020,12:00 AM,8/26/2020,11:59 PM,TRUE,,
Last day to apply for Fall 2020 Readmission,8/27/2020,12:00 AM,8/27/2020,11:59 PM,TRUE,,
Deadline for completion of INC grade from Fall 2019,8/30/2020,12:00 AM,8/30/2020,11:59 PM,TRUE,,
Last day to add/change a class,9/1/2020,12:00 AM,9/1/2020,11:59 PM,TRUE,,
Last day to drop with 75% tuition refund,9/1/2020,12:00 AM,9/1/2020,11:59 PM,TRUE,,
Verification of Enrollment Rosters Available to faculty,9/2/2020,12:00 AM,9/2/2020,11:59 PM,TRUE,,
"Course Withdrawal Drop (WD) period begins. A grade of ""WD"" is assigned to students who officially drop a class",9/2/2020,12:00 AM,9/2/2020,11:59 PM,TRUE,,
Labor Day Weekend - COLLEGE CLOSED - NO CLASSES,9/5/2020,12:00 AM,9/7/2020,11:59 PM,TRUE,,
Last day to drop with 50% tuition refund,9/8/2020,12:00 AM,9/8/2020,11:59 PM,TRUE,,
Priority Deadline for CUNY Transfer Application,9/15/2020,12:00 AM,9/15/2020,11:59 PM,TRUE,,
"Course Withdrawal Drop (WD) period ends. Last day to drop without the grade of ""W""",9/15/2020,12:00 AM,9/15/2020,11:59 PM,TRUE,,
Verification of Enrollment Rosters Due from faculty,9/15/2020,12:00 AM,9/15/2020,11:59 PM,TRUE,,
Last day to change a major to be effective for Fall 2020,9/15/2020,12:00 AM,9/15/2020,11:59 PM,TRUE,,
Last day to drop with 25% tuition refund,9/15/2020,12:00 AM,9/15/2020,11:59 PM,TRUE,,
"""WN"" Grades Assigned",9/16/2020,12:00 AM,9/16/2020,11:59 PM,TRUE,,
"Course withdrawal period begins (A grade of ""W"" is assigned to students who officially withdraw from a class)",9/16/2020,12:00 AM,9/16/2020,11:59 PM,TRUE,,
No classes scheduled,9/18/2020,12:00 AM,9/20/2020,11:59 PM,TRUE,,
Last day to apply for Fall 2020 Graduation,9/22/2020,12:00 AM,9/22/2020,11:59 PM,TRUE,,
"""WA"" Grades Assigned--Immunization non-compliance",9/25/2020,12:00 AM,9/25/2020,11:59 PM,TRUE,,
No classes scheduled,9/28/2020,12:00 AM,9/28/2020,11:59 PM,TRUE,,
Classes follow Monday schedule,9/29/2020,12:00 AM,9/29/2020,11:59 PM,TRUE,,
Early Advisement and Registration begin for Winter/Spring 2021,10/5/2020,12:00 AM,10/5/2020,11:59 PM,TRUE,,
COLLEGE CLOSED- NO CLASSES,10/12/2020,12:00 AM,10/12/2020,11:59 PM,TRUE,,
Classes follow Monday schedule,10/14/2020,12:00 AM,10/14/2020,11:59 PM,TRUE,,
Classes follow Friday schedule,11/25/2020,12:00 AM,11/25/2020,11:59 PM,TRUE,,
COLLEGE CLOSED- NO CLASSES,11/26/2020,12:00 AM,11/29/2020,11:59 PM,TRUE,,
Student Faculty Evaluations available online,12/1/2020,12:00 AM,12/1/2020,11:59 PM,TRUE,,
Reading Day,12/10/2020,12:00 AM,12/11/2020,11:59 PM,TRUE,,
"Deadline for submission of ""WN"" Grade Reversal form",12/11/2020,12:00 AM,12/11/2020,11:59 PM,TRUE,,
Student Faculty Evaluations submission deadline,12/13/2020,12:00 AM,12/13/2020,11:59 PM,TRUE,,
"Last day to withdraw with a grade of ""W""",12/13/2020,12:00 AM,12/13/2020,11:59 PM,TRUE,,
"Last day to opt for an ""NC"" grade",12/13/2020,12:00 AM,12/13/2020,11:59 PM,TRUE,,
Last day of classes,12/13/2020,12:00 AM,12/13/2020,11:59 PM,TRUE,,
Final Examinations,12/14/2020,12:00 AM,12/20/2020,11:59 PM,TRUE,,
Grade Submission Deadline,12/22/2020,12:00 AM,12/22/2020,11:59 PM,TRUE,,
Deadline for completion of INC grade from Winter/Spring/Summer 2020,12/23/2020,12:00 AM,12/23/2020,11:59 PM,TRUE,,
Opt-in for (CR/NC) COVID-19 Flexible Grading Policy begins,12/24/2020,12:00 AM,12/24/2020,11:59 PM,TRUE,,
COLLEGE CLOSED,12/24/2020,12:00 AM,12/25/2020,11:59 PM,TRUE,,
COLLEGE CLOSED,12/31/2019,12:00 AM,12/31/2019,11:59 PM,TRUE,,
Last day to opt-in for COVID-19 Flexible Grading (CR/NC),1/12/2020,12:00 AM,1/12/2020,11:59 PM,TRUE,,
