Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Location
Early Advisement and Registration begin for Winter/Spring 2021,10/20/2020,12:00 AM,10/20/2020,11:59 PM,TRUE,,
In-Person Registration,1/18/2020,12:00 AM,1/22/2020,11:59 PM,TRUE,,
In-Person Registration,1/25/2020,12:00 AM,1/27/2020,11:59 PM,TRUE,,
Last day to apply for ePermit,1/28/2020,12:00 AM,1/28/2020,11:59 PM,TRUE,,
Last day to drop with 100% tuition refund,1/28/2020,12:00 AM,1/28/2020,11:59 PM,TRUE,,
Classes begin,1/29/2020,12:00 AM,1/29/2020,11:59 PM,TRUE,,
Fee of $18 is charged per day for adding or swapping classes once the semester begins,1/29/2020,12:00 AM,1/29/2020,11:59 PM,TRUE,,
Fee of $25 is charged for late registration,1/29/2020,12:00 AM,1/29/2020,11:59 PM,TRUE,,
Priority Deadline for CUNY Transfer Application,2/1/2020,12:00 AM,2/1/2020,11:59 PM,TRUE,,
Last day to drop with 75% tuition refund,2/4/2020,12:00 AM,2/4/2020,11:59 PM,TRUE,,
Last day to add/change a class,2/4/2020,12:00 AM,2/4/2020,11:59 PM,TRUE,,
"Course Withdrawal Drop (WD) period begins. A grade of ""WD"" is assigned to students who officially drop a course",2/5/2020,12:00 AM,2/5/2020,11:59 PM,TRUE,,
Verification of Enrollment Rosters Available to faculty,2/5/2020,12:00 AM,2/5/2020,11:59 PM,TRUE,,
Last day to drop with 50% tuition refund,2/11/2020,12:00 AM,2/11/2020,11:59 PM,TRUE,,
Lincoln's Birthday Observed- COLLEGE CLOSED - NO CLASSES,2/12/2020,12:00 AM,2/12/2020,11:59 PM,TRUE,,
President's Day-COLLEGE CLOSED -NO CLASSES,2/15/2020,12:00 AM,2/15/2020,11:59 PM,TRUE,,
"Course Withdrawal Drop (WD) period ends. Last day to drop without the grade of ""W""",2/18/2020,12:00 AM,2/18/2020,11:59 PM,TRUE,,
Last day to change a major to be effective Spring 2021,2/18/2020,12:00 AM,2/18/2020,11:59 PM,TRUE,,
Last day to drop with 25% tuition refund,2/18/2020,12:00 AM,2/18/2020,11:59 PM,TRUE,,
Verification of Enrollment Rosters Due from faculty,2/18/2020,12:00 AM,2/18/2020,11:59 PM,TRUE,,
"Course withdrawal period begins (A grade of ""W"" is assigned to students who officially withdraw from a course)",2/19/2020,12:00 AM,2/19/2020,11:59 PM,TRUE,,
"""WN"" Grades Assigned",2/19/2020,12:00 AM,2/19/2020,11:59 PM,TRUE,,
Last day to apply for Spring 2021 Graduation,2/25/2020,12:00 AM,2/25/2020,11:59 PM,TRUE,,
"""WA"" WA Grades Assigned –Immunization non-compliance",2/28/2020,12:00 AM,2/28/2020,11:59 PM,TRUE,,
Deadline for completion of INC grade from Fall and Winter,3/15/2020,12:00 AM,3/15/2020,11:59 PM,TRUE,,
Early Advisement and Registration begin for Summer and Fall 2021,3/20/2020,12:00 AM,3/20/2020,11:59 PM,TRUE,,
Spring Recess - NO CLASSES -,3/27/2020,12:00 AM,3/31/2020,11:59 PM,TRUE,,
Spring Recess - NO CLASSES -,4/1/2020,12:00 AM,4/4/2020,11:59 PM,TRUE,,
"Last day to withdraw from course with a grade of ""W""",4/4/2020,12:00 AM,4/4/2020,11:59 PM,TRUE,,
"Last day to opt for an ""NC"" grade",4/4/2020,12:00 AM,4/4/2020,11:59 PM,TRUE,,
Last day of classes,5/17/2020,12:00 AM,5/17/2020,11:59 PM,TRUE,,
Reading Day,5/18/2020,12:00 AM,5/18/2020,11:59 PM,TRUE,,
Final Examinations,5/19/2020,12:00 AM,5/25/2020,11:59 PM,TRUE,,
Grade Submission Deadline,5/27/2020,12:00 AM,5/27/2020,11:59 PM,TRUE,,
Memorial Day - COLLEGE CLOSED - NO CLASSES,5/31/2020,12:00 AM,5/31/2020,11:59 PM,TRUE,,
Honors Convocation (tentative),6/1/2020,12:00 AM,6/1/2020,11:59 PM,TRUE,,
Honors Convocation (tentative),6/4/2020,12:00 AM,6/4/2020,11:59 PM,TRUE,,
